player_id,year_id,school_name,conf_abbr,class,pos,g,tackles_solo,tackles_assists,tackles_total,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,scrim_att,scrim_yds,scrim_yds_per_att,scrim_td,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_yds_per_att,adj_pass_yds_per_att,pass_td,pass_int,pass_rating
799,*2020,Ohio State,Big Ten,JR,QB,8.0,,,,,,,,,,,,,,,81.0,383.0,4.7,5.0,0.0,0.0,,0.0,81.0,383.0,4.7,5.0,158.0,225.0,70.2,2100.0,9.3,10.1,22.0,6.0,175.6
800,*2017,Arizona,Pac-12,FR,LB,13.0,65.0,39.0,104.0,7.5,5.0,1.0,3.0,3.0,0.0,1.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
800,2018,Arizona,Pac-12,SO,LB,12.0,58.0,31.0,89.0,4.5,2.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
800,2019,Arizona,Pac-12,JR,LB,12.0,58.0,36.0,94.0,5.0,1.5,1.0,14.0,14.0,0.0,3.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
800,*2020,West Virginia,Big 12,SR,LB,9.0,34.0,54.0,88.0,4.0,1.0,1.0,22.0,22.0,0.0,2.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
801,*2017,Northwestern,Big Ten,FR,LB,13.0,65.0,46.0,111.0,9.0,0.0,1.0,4.0,4.0,0.0,3.0,0.0,,,4.0,,,,,,,,,,,,,,,,,,,,,
801,*2018,Northwestern,Big Ten,SO,LB,14.0,63.0,53.0,116.0,5.0,1.0,1.0,12.0,12.0,0.0,2.0,0.0,,,4.0,,,,,,,,,,,,,,,,,,,,,
801,2019,Northwestern,Big Ten,JR,LB,12.0,39.0,49.0,88.0,6.0,1.0,1.0,7.0,7.0,0.0,3.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
801,*2020,Northwestern,Big Ten,SR,LB,9.0,47.0,39.0,86.0,4.5,0.0,1.0,0.0,0.0,0.0,2.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
802,*2017,Louisville,ACC,FR,WR,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,45.0,699.0,15.5,9.0,45.0,699.0,15.5,9.0,,,,,,,,,
